group	ID	Link	nseqs.orig	sobs.orig	coverage	nseqs.norm	sobs.norm	bergerparker	chao	shannon	simpson	ace
832237g	832237	g	24790	159	0.998669	9991	126	0.26704	178.8	3.178873	0.097303	186.031919
832237s	832237	s	49388	263	0.99915	9992	192	0.339572	317.142857	2.609111	0.186579	360.418032
832551g	832551	g	43999	552	0.997545	9951	334	0.251332	477.133333	3.673864	0.08311	532.956986
832551s	832551	s	71680	553	0.99873	9966	309	0.08248	502.522727	3.951988	0.03466	720.302448
832580g	832580	g	72465	134	0.999614	9987	73	0.17703	106	2.861658	0.086102	144.253898
832769g	832769	g	64161	390	0.998753	9966	212	0.249047	262.571429	3.499	0.082097	281.321765
832769s	832769	s	56268	481	0.99856	9979	310	0.123559	517.682927	3.815477	0.044696	683.619155
832901g	832901	g	22459	296	0.997328	9978	236	0.162658	299.277778	3.490167	0.061977	309.418947
832901s	832901	s	60730	263	0.99921	9971	165	0.109016	240.2	3.484277	0.053369	258.369148
833054s	833054	s	56235	642	0.998346	9979	405	0.112135	756.153846	4.454389	0.02655	928.530938
833403g	833403	g	43380	473	0.997925	9950	288	0.110653	430.676471	4.044749	0.035746	501.882907
833403p	833403	p	31217	535	0.997309	10014	451	0.093369	694.474576	4.523485	0.023706	827.966055
833456s	833456	s	33703	291	0.998516	9990	241	0.148849	384.035714	3.665545	0.050618	473.152041
833471g	833471	g	51749	342	0.998841	9983	227	0.310227	292.27027	3.0813	0.127047	310.849849
833471p	833471	p	46122	443	0.998092	9965	271	0.120421	409	3.73049	0.051335	472.791307
833533g	833533	g	42229	182	0.999219	9982	121	0.430274	158.4	2.479963	0.208108	158.634554
833533s	833533	s	79452	609	0.998968	9982	355	0.13885	575.52	4.061784	0.037874	784.954251
833554g	833554	g	84327	625	0.998885	9942	344	0.16898	437.518519	4.079972	0.045264	452.86249
833554p	833554	p	54379	605	0.998161	9964	402	0.11401	694.116279	4.363077	0.02948	838.574037
833554s	833554	s	57422	569	0.997875	9983	360	0.096063	642	4.342192	0.026003	768.824572
833559g	833559	g	45937	580	0.997736	9952	367	0.183682	545.404255	4.140877	0.047022	627.321895
833559p	833559	p	42572	543	0.997886	9958	366	0.106748	513.521739	4.23732	0.032658	574.67917
833630g	833630	g	46319	285	0.998661	9978	178	0.198136	294.368421	3.175292	0.087332	372.425802
833630p	833630	p	65494	316	0.999114	9968	172	0.141754	232.714286	3.380241	0.063349	228.857072
833630s	833630	s	84607	517	0.999267	9959	278	0.192288	408	3.495826	0.071427	522.803244
833779s	833779	s	57567	474	0.998975	9989	329	0.213735	517.275862	4.02241	0.061181	542.489554
